pair_id,resume_id,job_id,resume_text,job_description,label,category
351e8c04,R029,J029,"Accounts Payable Specialist with 3 years of experience processing invoices, reconciling statements, and managing vendor relationships. Proficient in SAP and QuickBooks. Strong attention to detail and experience with month-end close activities. Basic Excel skills for reporting.","Accounts Payable Specialist. Must have: invoice processing experience, SAP or QuickBooks proficiency, vendor management, month-end close experience. Good attention to detail and basic Excel skills required.",1,Finance
4dcff4f3,R012,J037,"AI Research Scientist with PhD in Computer Science. Specialised in deep learning, natural language processing, and computer vision. Published 8 peer-reviewed papers on transformer architectures and multimodal learning. Proficient in Python, TensorFlow, JAX, and Hugging Face Transformers. Experience fine-tuning large language models. Strong mathematical background in linear algebra, calculus, and probability theory.","Inside Sales Representative. Must have: outbound sales experience, Salesforce or CRM proficiency, cold outreach skills, pipeline management. Customer service background acceptable.",0,Machine Learning
80a536f3,R003,J003,"Data Scientist with 5 years of experience in machine learning and statistical modelling. Skilled in Python, scikit-learn, PyTorch, and TensorFlow. Developed NLP models for text classification and sentiment analysis. Experienced in data preprocessing, feature engineering, and model evaluation using precision, recall, F1, and ROC-AUC. Published research on transformer-based text models. Familiar with SQL and Spark.","Data Scientist needed with 3+ years of experience in machine learning. Required: Python, scikit-learn, PyTorch or TensorFlow, NLP experience, strong understanding of model evaluation metrics (F1, ROC-AUC, precision, recall), SQL proficiency. PhD or relevant research experience preferred.",1,Data Science
8a076562,R023,J024,"Business Analyst with 5 years of experience translating business requirements into technical specifications. Proficient in requirements gathering, process mapping, and gap analysis. Familiar with UML, BPMN, and user story writing. Experience working with development teams in Agile environments. Strong SQL skills for data analysis. Delivered solutions in banking and insurance domains.","Systems Analyst role. Must have: systems analysis experience, stakeholder interviewing skills, functional specification writing, ERP system knowledge (SAP preferred), data modelling basics.",1,Business Analysis
340d6eb0,R014,J013,"UI Developer with 2 years of experience in Vue.js and Angular. Proficient in HTML, CSS, JavaScript, and Bootstrap. Built interactive dashboards consuming REST APIs. Familiar with Webpack and Vite build tools. Experience with Figma for design handoff and basic UI/UX principles. Worked in cross-functional Agile teams.","Senior Frontend Developer. Requirements: 3+ years React and TypeScript, Next.js experience, performance optimisation skills, accessibility knowledge (WCAG), testing experience (Jest, Cypress), design system experience preferred.",1,Frontend Development
5bebfc79,R039,J007,"Customer Support Representative with 2 years of experience resolving customer inquiries via phone, email, and chat. Proficient in Zendesk and Freshdesk. Average ticket resolution time of 4 hours. Experience with returns, billing, and technical troubleshooting. Strong empathy and communication skills.","Cybersecurity Analyst role. Required: 3+ years in threat detection and incident response, SIEM tool proficiency (Splunk preferred), penetration testing experience, security certification (Security+, CEH, or equivalent), network security knowledge. NIST framework familiarity a plus.",0,Customer Support
e8036857,R036,J036,"Sales Executive with 5 years of experience in B2B SaaS sales. Consistently exceeded quota by 120%+ for 3 consecutive years. Proficient in Salesforce CRM, HubSpot, and outbound prospecting tools (Outreach, Apollo). Experience managing enterprise accounts and conducting product demonstrations. Strong negotiation and relationship-building skills. Background in technical pre-sales.","B2B Sales Executive. Requirements: 3+ years B2B SaaS sales experience, Salesforce CRM proficiency, quota achievement history, enterprise account management, strong negotiation skills. Technical pre-sales experience valued.",1,Sales
6f81d1b6,R006,J005,"Site Reliability Engineer with 3 years of experience maintaining high-availability systems. Skilled in Kubernetes orchestration, Helm charts, and Istio service mesh. Implemented alerting and on-call rotation using PagerDuty. Experienced with log aggregation using ELK Stack. Wrote runbooks for incident response. Strong background in Python scripting and Bash automation.","DevOps Engineer required with strong Docker, Kubernetes, and Terraform skills. Must have 4+ years experience with AWS or GCP infrastructure management. CI/CD pipeline design experience essential. Monitoring with Prometheus/Grafana a plus. Linux administration skills required. Python or Bash scripting needed.",1,DevOps
7e69611c,R013,J030,"Frontend Developer with 4 years of experience building responsive web applications. Expert in React, TypeScript, and Next.js. Proficient in CSS/Sass, Tailwind CSS, and design systems. Implemented accessibility (WCAG 2.1) and performance optimisations achieving 95+ Lighthouse scores. Familiar with GraphQL and REST API integration. Experience with testing using Jest and Cypress. Collaborated closely with UX designers.","HR Business Partner. Requirements: 5+ years HR generalist experience, talent acquisition knowledge, employee relations experience, performance management, HR compliance, ATS proficiency (Workday preferred). Strong coaching and communication skills required.",0,Frontend Development
00326caf,R038,J038,"Customer Success Manager with 4 years of experience managing B2B SaaS accounts. Skilled in onboarding, product adoption, and renewal management. Proficient in Zendesk, Salesforce, and Gainsight. Maintained 95% customer retention rate. Strong communication and problem-solving skills. Experience with NPS surveys and churn analysis.","Customer Success Manager. Requirements: 3+ years in SaaS customer success, Gainsight or similar CSP experience, renewal management, strong account management and retention skills, data-driven approach to customer health.",1,Customer Support
